time,carrier,scenario,region,value
2020,sldg,high_env_pol,DE,0.0
2020,sldg,low_env_pol,DE,0.0
2020,wtr,high_env_pol,DE,0.0
2020,wtr,low_env_pol,DE,0.0
2020,oxi_con,high_env_pol,DE,0.0
2020,oxi_con,low_env_pol,DE,0.0
2035,sldg,high_env_pol,DE,0.0
2035,sldg,low_env_pol,DE,0.0
2035,wtr,high_env_pol,DE,144953159.30421534
2035,wtr,low_env_pol,DE,0.0
2035,oxi_con,high_env_pol,DE,0.0
2035,oxi_con,low_env_pol,DE,0.0
2045,sldg,high_env_pol,DE,0.0
2045,sldg,low_env_pol,DE,0.0
2045,wtr,high_env_pol,DE,284753987.6519724
2045,wtr,low_env_pol,DE,0.0
2045,oxi_con,high_env_pol,DE,0.0
2045,oxi_con,low_env_pol,DE,0.0
